"","Name","Reviews","Ratings","City","State","Country","isClosed","isClaimed"
"1","Naansense",175,4,"Chicago","IL","US",FALSE,TRUE
"2","India House Restaurant",859,4,"Chicago","IL","US",FALSE,TRUE
"3","Rangoli",323,4,"Chicago","IL","US",FALSE,TRUE
"4","Tandoor Char House",386,4,"Chicago","IL","US",FALSE,TRUE
"5","Bombay Wraps",296,3.5,"Chicago","IL","US",FALSE,TRUE
"6","Jaipur",360,3.5,"Chicago","IL","US",FALSE,TRUE
"7","Cumin",602,4,"Chicago","IL","US",FALSE,TRUE
"8","Mughal India",105,3.5,"Chicago","IL","US",FALSE,TRUE
"9","Gaylord Fine Indian Cuisine",243,3.5,"Chicago","IL","US",FALSE,TRUE
"10","Bombay Wraps",52,4,"Chicago","IL","US",FALSE,TRUE
"11","The Indian Garden",388,3.5,"Chicago","IL","US",FALSE,TRUE
"12","Royal Indian Grill",45,4,"Chicago","IL","US",FALSE,TRUE
"13","Chicago Curry House",346,3.5,"Chicago","IL","US",FALSE,TRUE
"14","Kama Indian Bistro",291,4,"La Grange","IL","US",FALSE,TRUE
"15","Nepal House - Indian and Nepali Cuisine",113,3.5,"Chicago","IL","US",FALSE,TRUE
"16","Ghareeb Nawaz",368,4,"Chicago","IL","US",FALSE,FALSE
"17","Klay Oven",122,3.5,"Oak Park","IL","US",FALSE,TRUE
"18","Luzzat",168,4.5,"Chicago","IL","US",FALSE,TRUE
"19","Khyber Pass",152,3.5,"Oak Park","IL","US",FALSE,FALSE
"20","Ghareeb Nawaz Express",107,3.5,"Chicago","IL","US",FALSE,TRUE
